node,lv1_relation_text
Development Tools,"['Development Tools use knowledge of Lucidchart', 'Development Tools use knowledge of Figma', 'Development Tools use knowledge of draw.io']"
Development and Implementation of Procedures,"['Development and Implementation of Procedures is subclass of Software Engineering', 'Development and Implementation of Procedures is subclass of Project Management']"
Device Controller,"['Device Controller is subclass of Hardware', 'Device Controller use knowledge of I/O Devices']"
Device Status table,"['Device Status table is subclass of Operating Systems', 'Device Status table use knowledge of Device Controller']"
Device queues,['Device queues is subclass of Process Scheduling']
Devices,['Devices is subclass of I/O Control']
Dict,['Dict is synonym of Dictionaries']
Dictionaries,"['Dictionaries is subclass of Authentication Testing', 'Dictionaries is subclass of Data', 'Dictionaries is subclass of Data Structures', 'Dictionaries use knowledge of search', 'Dictionaries use knowledge of remove', 'Dictionaries use knowledge of add', 'Dictionaries use knowledge of values', 'Dictionaries use knowledge of unique keys', 'Dictionaries use knowledge of Algorithms']"
Dig,['Dig is synonym of dig']
Digital Asset Trading Platform,"['Digital Asset Trading Platform use knowledge of Fintech', 'Digital Asset Trading Platform use knowledge of Rebalance', 'Digital Asset Trading Platform use knowledge of Auto-DCA', 'Digital Asset Trading Platform use knowledge of Trading Strategies', 'Digital Asset Trading Platform use knowledge of Trading Operations']"
Digital Banking,['Digital Banking is subclass of Digital Transformation']
Digital Certificates,['Digital Certificates is subclass of Authentication']
Digital Currency Marketplace,['Digital Currency Marketplace is synonym of Digital Asset Trading Platform']
Digital Customer Onboarding,['Digital Customer Onboarding is subclass of Customer Onboarding']
Digital Marketing,['Digital Marketing is synonym of Marketing']
Digital Signature,['Digital Signature is subclass of Authentication']
Dining-Philosophers Problem,"['Dining-Philosophers Problem is subclass of Process Synchronization', 'Dining-Philosophers Problem use knowledge of Starvation', 'Dining-Philosophers Problem use knowledge of Deadlock']"
Direct Command Entry,['Direct Command Entry is subclass of User Operating System Interface - CLI']
Direct Communication,['Direct Communication is subclass of Message system']
Direct Memory Access (DMA),['Direct Memory Access (DMA) is subclass of I/O Structure']
Directories,"['Directories is subclass of File-System management', 'Directories use knowledge of Access control']"
Directory Algorithms,['Directory Algorithms is subclass of Directory Management']
Directory Implementation,"['Directory Implementation use knowledge of Hash Table', 'Directory Implementation use knowledge of data blocks', 'Directory Implementation use knowledge of Linear list']"
Directory Management,['Directory Management is subclass of File System']
Directory Structures,['Directory Structures is subclass of File System']
Disaster Recovery Site,['Disaster Recovery Site is subclass of System Infrastructure']
Disk Allocation,['Disk Allocation is subclass of File System']
Disk Attachment,"['Disk Attachment is subclass of Mass-Storage Systems', 'Disk Attachment use knowledge of Disk controller', 'Disk Attachment use knowledge of Host controller', 'Disk Attachment use knowledge of I/O bus']"
Disk Controller,"['Disk Controller is subclass of Device Controller', 'Disk Controller use knowledge of DISK']"
Disk Management,"['Disk Management is subclass of Mass-Storage Systems', 'Disk Management is subclass of Operating-system services', 'Disk Management use knowledge of MBR', 'Disk Management use knowledge of Bootstrap loader', 'Disk Management use knowledge of Boot block', 'Disk Management use knowledge of Raw disk access', 'Disk Management use knowledge of Clusters', 'Disk Management use knowledge of File system', 'Disk Management use knowledge of Logical formatting', 'Disk Management use knowledge of Partition', 'Disk Management use knowledge of File-allocation method', 'Disk Management use knowledge of Disk Scheduling']"
Disk Scheduling,"['Disk Scheduling is subclass of Disk Management', 'Disk Scheduling use knowledge of Optimization algorithms', 'Disk Scheduling use knowledge of I/O request', 'Disk Scheduling use knowledge of C-LOOK', 'Disk Scheduling use knowledge of C-SCAN', 'Disk Scheduling use knowledge of Elevator algorithm', 'Disk Scheduling use knowledge of SCAN algorithm', 'Disk Scheduling use knowledge of SJF scheduling', 'Disk Scheduling use knowledge of SSTF', 'Disk Scheduling use knowledge of FCFS']"
Disk Space Efficiency,['Disk Space Efficiency is subclass of Efficiency']
Disk Structure,"['Disk Structure is subclass of Mass-Storage Systems', 'Disk Structure use knowledge of Sector sparing', 'Disk Structure use knowledge of Physical media', 'Disk Structure use knowledge of Low-level formatting', 'Disk Structure use knowledge of Logical blocks', 'Disk Structure use knowledge of Platters']"
Disk controller,"['Disk controller is subclass of I/O devices', 'Disk controller use knowledge of Secondary storage']"
Disk scheduling algorithms,['Disk scheduling algorithms is synonym of Disk Scheduling']
Dispatcher,"['Dispatcher is subclass of Low Level Scheduling', 'Dispatcher use knowledge of Dispatch latency']"
Dispatching,['Dispatching is synonym of Low Level Scheduling']
Distributed Denial of Service,['Distributed Denial of Service is synonym of DDoS']
Distributed Denial-of-Service (DDOS),['Distributed Denial-of-Service (DDOS) is synonym of Denial of Service (DOS)']
Distributed Systems,['Distributed Systems is synonym of Scalable Systems']
Distributed Version Control System,['Distributed Version Control System is subclass of Version Control Systems']
Divider,"['Divider use knowledge of Real Divisors', 'Divider use knowledge of Proper Divisors']"
Division,"['Division is subclass of Arithmetic Operations', 'Division use knowledge of Modulo', 'Division use knowledge of Real Divisors', 'Division use knowledge of Proper Divisors', 'Division use knowledge of Divider']"
Django,['Django is subclass of Software Development']
Django Back-end Mapping,['Django Back-end Mapping is subclass of Software Engineering']
Django Framework,['Django Framework is subclass of Web Application Security']
Django Front-end Templating,['Django Front-end Templating is subclass of User Interface Design']
Django-Back-end Mapping,['Django-Back-end Mapping is subclass of Websites']
Django-Front-end Templating,['Django-Front-end Templating is subclass of Websites']
DoS,['DoS is synonym of Denial-of-service']
DoS Attack,['DoS Attack is subclass of Computer Hacking']
Docker,"['Docker is synonym of Dockers', 'Docker is subclass of Containerization Technology', 'Docker is subclass of Containerization', 'Docker is subclass of Computer Server Configuration', 'Docker is subclass of Container platform', 'Docker is subclass of Server Configuration', 'Docker use knowledge of REST API', 'Docker use knowledge of Command Line Interface (CLI)', 'Docker use knowledge of Docker-Compose', 'Docker use knowledge of Containers', 'Docker use knowledge of Docker Compose', 'Docker use knowledge of Container']"
Docker Basics,"['Docker Basics is subclass of Docker', 'Docker Basics use knowledge of Registry', 'Docker Basics use knowledge of Engine', 'Docker Basics use knowledge of Image', 'Docker Basics use knowledge of Docker Container']"
Docker Community Edition,"['Docker Community Edition is subclass of Docker', 'Docker Community Edition use knowledge of Development Environments']"
Docker Compose,"['Docker Compose is subclass of Docker', 'Docker Compose use knowledge of Mysql', 'Docker Compose use knowledge of Wordpress', 'Docker Compose use knowledge of Container']"
Docker Container,"['Docker Container is subclass of Containers', 'Docker Container use knowledge of Docker Engine']"
Docker Engine,"['Docker Engine is subclass of Docker', 'Docker Engine use knowledge of Orchestration', 'Docker Engine use knowledge of Volumes', 'Docker Engine use knowledge of Network', 'Docker Engine use knowledge of Security']"
Docker Enterprise Edition,"['Docker Enterprise Edition is subclass of Docker', 'Docker Enterprise Edition use knowledge of Security', 'Docker Enterprise Edition use knowledge of IT Operations']"
Docker Family Tree,"['Docker Family Tree is subclass of Docker', 'Docker Family Tree use knowledge of Moby Project', 'Docker Family Tree use knowledge of Docker Community Edition', 'Docker Family Tree use knowledge of Docker Enterprise Edition']"
Docker Images,"['Docker Images is subclass of Image', 'Docker Images use knowledge of Docker exec', 'Docker Images use knowledge of Docker commit', 'Docker Images use knowledge of Docker kill', 'Docker Images use knowledge of Docker attach', 'Docker Images use knowledge of Docker ps', 'Docker Images use knowledge of Docker run']"
Docker Register,['Docker Register is subclass of Registry']
Docker attach,['Docker attach is subclass of Docker']
Docker commit,['Docker commit is subclass of Docker']
Docker exec,['Docker exec is subclass of Docker']
Docker kill,['Docker kill is subclass of Docker']
Docker ps,['Docker ps is subclass of Docker']
Docker run,['Docker run is subclass of Docker']
Docker-Compose,['Docker-Compose use knowledge of Docker']
Dockerfile,['Dockerfile is subclass of Docker']
Dockers,['Dockers is subclass of DevOps']
Document Management,"['Document Management is subclass of Information Management', 'Document Management use knowledge of TOR']"
Document Object Model tree,['Document Object Model tree is synonym of DOM tree']
Document chunking,"['Document chunking is synonym of Document chunking', 'Document chunking use knowledge of Semantic Chunking', 'Document chunking use knowledge of Fixed-Size Chunking', 'Document chunking use knowledge of Content-Based (Structured) Chunking', 'Document chunking use knowledge of Recursive Chunking']"
Document-Driven Model,['Document-Driven Model is synonym of Waterfall Model']
Domain,['Domain is synonym of Domain Name']
Domain Name,"['Domain Name is subclass of Name space', 'Domain Name is subclass of Linux Server', 'Domain Name use knowledge of DNS Server', 'Domain Name use knowledge of relative domain name', 'Domain Name use knowledge of absolute domain name', 'Domain Name use knowledge of label', 'Domain Name use knowledge of Domain Name Concept', 'Domain Name use knowledge of Domain Name Space', 'Domain Name use knowledge of case-insensitive', 'Domain Name use knowledge of Naming Scheme']"
Domain Name System,"['Domain Name System is synonym of Domain Name System (DNS)', 'Domain Name System is synonym of DNS']"
Domain Name System (DNS),"['Domain Name System (DNS) use knowledge of Caching', 'Domain Name System (DNS) use knowledge of DNS message format', 'Domain Name System (DNS) use knowledge of DNS Record Types', 'Domain Name System (DNS) use knowledge of DNS Zone', 'Domain Name System (DNS) use knowledge of DNS Configurations', 'Domain Name System (DNS) use knowledge of Name Servers', 'Domain Name System (DNS) use knowledge of Name Resolution Process', 'Domain Name System (DNS) use knowledge of IP Address', 'Domain Name System (DNS) use knowledge of Domain Name']"
Domain Name System (DNS) Spoofing,['Domain Name System (DNS) Spoofing is subclass of Web Application Security']
Domain Requirement,['Domain Requirement is subclass of Requirements Engineering']
Domain name system,"['Domain name system is subclass of Network', 'Domain name system is subclass of DNS', 'Domain name system use knowledge of MX', 'Domain name system use knowledge of Record A']"
Domains,"['Domains is synonym of Value Sets', 'Domains is subclass of Relational Data Model']"
Double,['Double is subclass of Data Types']
Double Caching,['Double Caching is subclass of Buffer Cache']
DoubleField,['DoubleField is subclass of On-Screen Controls']
Draw,['Draw is subclass of Turtle']
Drawing Geometrical Objects,"['Drawing Geometrical Objects use knowledge of SetFillColor', 'Drawing Geometrical Objects use knowledge of SetFilled']"
Drive Letters,"['Drive Letters is subclass of Mounted Filesystems', 'Drive Letters use knowledge of drive letters']"
Dual Mode Operation,['Dual Mode Operation is subclass of Hardware Protection']
Dumpster Diving,['Dumpster Diving is subclass of Social Engineering']
Dynamic Databases,['Dynamic Databases is subclass of Database Systems']
Dynamic HTML,['Dynamic HTML is synonym of DHTML']
Dynamic Memory Allocation,"['Dynamic Memory Allocation is subclass of Memory-Management Techniques', 'Dynamic Memory Allocation use knowledge of Physical Address', 'Dynamic Memory Allocation use knowledge of Logical Address']"
Dynamic Routing,"['Dynamic Routing is subclass of Front-end Development', 'Dynamic Routing use knowledge of Routing']"
Dynamically Loadable Modules,['Dynamically Loadable Modules is subclass of Modular']
E2E Test,"['E2E Test is subclass of Software Testing', 'E2E Test use knowledge of Integration Test']"
ECC Memory,['ECC Memory is subclass of Memory']
EDA,['EDA is synonym of Event Driven Architecture']
EDR,['EDR is subclass of Cybersecurity']
EOF,['EOF is synonym of end of a file']
ER Diagram,"['ER Diagram is subclass of Database Design', 'ER Diagram is subclass of Database Concept', 'ER Diagram is subclass of Software Modeling']"
ER Diagrams Notation,['ER Diagrams Notation is synonym of Entity Relationship Diagram']
ER-Diagram,['ER-Diagram is synonym of ERD']
ER-Model Diagram,['ER-Model Diagram is synonym of Entity Relationship Diagram']
ERD,"['ERD is synonym of Entity Relationship Diagram (ERD)', 'ERD is synonym of Entity Relationship Diagram', 'ERD is subclass of Data Modeling', 'ERD is subclass of Conceptual Data Models', 'ERD use knowledge of Attributes', 'ERD use knowledge of Relationships', 'ERD use knowledge of Entities']"
ERD (Entity Relationship Diagram),['ERD (Entity Relationship Diagram) use knowledge of Data Modeling']
ERP,['ERP is synonym of Enterprise Resource Planning (ERP)']
ESMTP (extended SMTP),['ESMTP (extended SMTP) is subclass of SMTP']
EXCEPT,['EXCEPT is synonym of DIFFERENCE']
Eclipse,"['Eclipse is subclass of Integrated Development Environment', 'Eclipse use knowledge of Java programming', 'Eclipse use knowledge of Java']"
Ecommerce,"['Ecommerce is subclass of Application', 'Ecommerce is subclass of Website', 'Ecommerce use knowledge of Admin', 'Ecommerce use knowledge of User']"
Ecommerce System,"['Ecommerce System use knowledge of Stock', 'Ecommerce System use knowledge of Payment', 'Ecommerce System use knowledge of Register', 'Ecommerce System use knowledge of Website', 'Ecommerce System use knowledge of Web Backend', 'Ecommerce System use knowledge of Front Interface']"
Economy,['Economy is synonym of Economy']
Edit,['Edit is subclass of Usecase']
Effective Access Time (EAT),"['Effective Access Time (EAT) is subclass of Operating System', 'Effective Access Time (EAT) use knowledge of Page Fault Rate', 'Effective Access Time (EAT) use knowledge of Page Fault']"
Efficiency,['Efficiency is subclass of File System']
Efficiency Requirements,['Efficiency Requirements is subclass of Non-Functional Requirement']
Efficient Communication,"['Efficient Communication is subclass of Software Project Management (SPM)', 'Efficient Communication is subclass of Project Management']"
Elasticsearch,"['Elasticsearch is synonym of Elasticsearch', 'Elasticsearch is subclass of Graphing']"
Electronic Commerce,['Electronic Commerce is synonym of e-Commerce']
Electronic Mail,['Electronic Mail use knowledge of message format']
Email,"['Email is subclass of Computer Server Configuration', 'Email is subclass of Telco Application', 'Email use knowledge of Domain Name', 'Email use knowledge of Mail Server']"
Email Spoofing,['Email Spoofing is subclass of Phishing']
Embedded operating systems,"['Embedded operating systems is subclass of Operating System', 'Embedded operating systems use knowledge of Controllers', 'Embedded operating systems use knowledge of Sensors', 'Embedded operating systems use knowledge of Cell phones']"
Embedding Model,"['Embedding Model is synonym of Embedding Model', 'Embedding Model use knowledge of Tokenization', 'Embedding Model use knowledge of Semantic Similarity']"
Emerald Rapids,['Emerald Rapids is subclass of Processors']
Emerging Technologies,['Emerging Technologies is subclass of Software Development']
Encapsulation,"['Encapsulation is subclass of Object-Oriented Programming', 'Encapsulation is subclass of Object-Oriented Programming (OOP)', 'Encapsulation use knowledge of Application programming interface', 'Encapsulation use knowledge of API', 'Encapsulation use knowledge of Clients', 'Encapsulation use knowledge of Private', 'Encapsulation use knowledge of Protected Access Modifier', 'Encapsulation use knowledge of Private Members', 'Encapsulation use knowledge of Access Modifiers', 'Encapsulation use knowledge of Class', 'Encapsulation use knowledge of Object']"
Encrypted Channel,['Encrypted Channel is subclass of Cryptography']
Encryption,"['Encryption is subclass of Cryptography', 'Encryption is subclass of Cybersecurity']"
End Point,"['End Point is subclass of Screen Flow', 'End Point use knowledge of UI']"
End Users,"['End Users is subclass of Stakeholders', 'End Users use knowledge of User Interviews', 'End Users use knowledge of User queries']"
End-to-End Test,['End-to-End Test is synonym of E2E Test']
Endpoint Detection and Response,['Endpoint Detection and Response is synonym of EDR']
Endurance Tests,['Endurance Tests is subclass of Performance Testing']
English,['English is subclass of Language']
Enhanced for Loop,"['Enhanced for Loop is subclass of Arrays', 'Enhanced for Loop is subclass of ArrayList']"
Enter a day,['Enter a day is subclass of DailySpecials']
Enterprise Resource Planning (ERP),['Enterprise Resource Planning (ERP) is subclass of Application Systems']
Entities,"['Entities is subclass of Data Modeling', 'Entities use knowledge of Characteristics']"
Entities of Project,"['Entities of Project is subclass of Project Requirements', 'Entities of Project is subclass of Entity Relationship Diagram']"
Entity,['Entity is synonym of Entities of Project']
Entity Classes,['Entity Classes is synonym of Entities']
Entity Integrity,['Entity Integrity is subclass of Relational Database Constraints']
Entity Relationship Diagram,"['Entity Relationship Diagram is synonym of ERD', 'Entity Relationship Diagram is synonym of ERD (Entity Relationship Diagram)', 'Entity Relationship Diagram is synonym of ER Diagram', 'Entity Relationship Diagram is subclass of Data Model Development', 'Entity Relationship Diagram is subclass of Data Modeling', 'Entity Relationship Diagram is subclass of Database Models', 'Entity Relationship Diagram use knowledge of Participation Constraints', 'Entity Relationship Diagram use knowledge of Primary Keys', 'Entity Relationship Diagram use knowledge of Weak Entity Types', 'Entity Relationship Diagram use knowledge of Structural Constraints', 'Entity Relationship Diagram use knowledge of Roles', 'Entity Relationship Diagram use knowledge of Relationship Sets', 'Entity Relationship Diagram use knowledge of Relationship Types', 'Entity Relationship Diagram use knowledge of Keys', 'Entity Relationship Diagram use knowledge of Entity Sets', 'Entity Relationship Diagram use knowledge of Entity Types', 'Entity Relationship Diagram use knowledge of Relationships', 'Entity Relationship Diagram use knowledge of Attributes', 'Entity Relationship Diagram use knowledge of Entities', 'Entity Relationship Diagram use knowledge of Data Modeling', 'Entity Relationship Diagram use knowledge of Object', 'Entity Relationship Diagram use knowledge of Attribute', 'Entity Relationship Diagram use knowledge of Entity', 'Entity Relationship Diagram use knowledge of Constraints and Cardinality of Relationships', 'Entity Relationship Diagram use knowledge of Relationships between Entities', 'Entity Relationship Diagram use knowledge of Attributes of Entities', 'Entity Relationship Diagram use knowledge of Entities of Project', ""Entity Relationship Diagram use knowledge of Chen's and Crow's foot notation""]"
Entity Relationship Diagram (ERD),"['Entity Relationship Diagram (ERD) is subclass of Data Model', 'Entity Relationship Diagram (ERD) is subclass of Data Modeling']"
Entity Relationships,"['Entity Relationships is subclass of Relationships', 'Entity Relationships use knowledge of Attributes', 'Entity Relationships use knowledge of Entities']"
Entity Sets,"['Entity Sets is subclass of Entity Relationship Diagram', 'Entity Sets is subclass of Data Modeling']"
Entity Types,"['Entity Types is subclass of Entity Relationship Diagram', 'Entity Types is subclass of Data Modeling', 'Entity Types use knowledge of Attributes']"
Entity-Relationship Diagram,['Entity-Relationship Diagram is synonym of ERD']
Entry Point,"['Entry Point is subclass of Screen Flow', 'Entry Point use knowledge of UI']"
EnumName,"['EnumName is subclass of enum Types', 'EnumName use knowledge of Days']"
EnumObj,"['EnumObj use knowledge of String enumName', 'EnumObj use knowledge of name', 'EnumObj use knowledge of ordinal', 'EnumObj use knowledge of compare To']"
Environment Workflow,['Environment Workflow is subclass of 7 Process Workflows in SPM']
Equality Operators,['Equality Operators is subclass of Relational Operators']
Error Collection Code Memory,['Error Collection Code Memory is synonym of ECC Memory']
Error Handling,"['Error Handling is synonym of Exceptions', 'Error Handling is subclass of Security Testing']"
Error codes,['Error codes is subclass of Hypertext Transfer Protocol (HTTP)']
Errors,['Errors is synonym of Software Defects']
Espresso,['Espresso is subclass of Software Test Automation Frameworks']
Estimation,['Estimation is subclass of Software Development']
Ethical Hacking,"['Ethical Hacking use knowledge of Virtual Machine (VM)', 'Ethical Hacking use knowledge of Ubuntu', 'Ethical Hacking use knowledge of Computer Hacking', 'Ethical Hacking use knowledge of Web Application Security']"
Ethical concerns,"['Ethical concerns is subclass of Software Engineering', 'Ethical concerns use knowledge of Artificial Intelligence']"
Ethtool,['Ethtool is subclass of Networking toolkit']
Eudora,['Eudora is subclass of User Agent']
Event Component,['Event Component is subclass of Event Driven Architecture']
Event Driven,['Event Driven is subclass of Software Modeling']
Event Driven Architecture,"['Event Driven Architecture is subclass of Software Architecture', 'Event Driven Architecture is subclass of Software Modeling', 'Event Driven Architecture use knowledge of Asynchronous Programming']"
Event Driven Technique,['Event Driven Technique is synonym of Event Driven Architecture']
Event-Driven Architectures,"['Event-Driven Architectures use knowledge of RabbitMQ', 'Event-Driven Architectures use knowledge of Message Queues']"
Events,"['Events is subclass of Programming Skill Development', 'Events use knowledge of Java']"
Evolution qualities,['Evolution qualities is subclass of Non-Functional Requirement']
Evolutionary Model,"['Evolutionary Model is subclass of Software Process Models', 'Evolutionary Model is subclass of Evolutionary Process Flow']"
Evolutionary Process Flow,['Evolutionary Process Flow is subclass of Process Flow']
Example Programs,"['Example Programs use knowledge of GStoplight', 'Example Programs use knowledge of DrawFace']"
Exception Handling,"['Exception Handling use knowledge of Code anticipation', 'Exception Handling use knowledge of Robust programming', 'Exception Handling use knowledge of finally clause', 'Exception Handling use knowledge of else clause', 'Exception Handling use knowledge of except clause', 'Exception Handling use knowledge of try statement']"
Exceptions,"['Exceptions is synonym of Exception Handling', 'Exceptions is subclass of Programming', 'Exceptions use knowledge of Logic', 'Exceptions use knowledge of Conditional Execution']"
Execute,['Execute is subclass of Decode']
Execution,['Execution is synonym of Test Execution']
Execution Time,"['Execution Time is subclass of Address Binding', 'Execution Time use knowledge of Address Maps']"
Execution qualities,['Execution qualities is subclass of Non-Functional Requirement']
Exim,['Exim is subclass of Mail Server']
Exploit,['Exploit is subclass of Cyber Threat']
Exploitable Weaknesses,['Exploitable Weaknesses is synonym of Security Vulnerabilities']
Exploratory Testing,"['Exploratory Testing is subclass of Software Testing Methodologies', 'Exploratory Testing use knowledge of Debugging Skills', 'Exploratory Testing use knowledge of Analytical Skills']"
Express,['Express is synonym of Express.JS']
Express.JS,"['Express.JS is subclass of NodeJS', 'Express.JS use knowledge of XSS using Express.js', 'Express.JS use knowledge of PUG', 'Express.JS use knowledge of Async Await Promise Function', 'Express.JS use knowledge of Promise', 'Express.JS use knowledge of HTTP POST', 'Express.JS use knowledge of HTTP GET', 'Express.JS use knowledge of API']"
Express.js,"['Express.js is subclass of Application Platform Configuration', 'Express.js is subclass of Web Application Security', 'Express.js is subclass of Back-end Development', 'Express.js use knowledge of Web Application Security']"
ExpressJS,"['ExpressJS is subclass of Node.js', 'ExpressJS is subclass of Back-end Development', 'ExpressJS use knowledge of web applications', 'ExpressJS use knowledge of RESTful APIs', 'ExpressJS use knowledge of Routing']"
Expression,['Expression is subclass of Python']
Extended Detection and Response,['Extended Detection and Response is synonym of XDR']
Extended File System,['Extended File System is subclass of File System']
Extends keyword,"['Extends keyword is subclass of Inheritance', 'Extends keyword use knowledge of Direct superclass', 'Extends keyword use knowledge of SuperclassName', 'Extends keyword use knowledge of SubclassName', 'Extends keyword use knowledge of AccessModifier']"
Extensible Markup Language,"['Extensible Markup Language is synonym of XML', 'Extensible Markup Language is subclass of Standardized']"
Extension,"['Extension use knowledge of file.zip', 'Extension use knowledge of file.txt', 'Extension use knowledge of file.tex', 'Extension use knowledge of file.ps', 'Extension use knowledge of file.pdf', 'Extension use knowledge of file.o', 'Extension use knowledge of file.mpg', 'Extension use knowledge of file.mp3', 'Extension use knowledge of file.jpg', 'Extension use knowledge of file.html', 'Extension use knowledge of file.hlp', 'Extension use knowledge of file.gif', 'Extension use knowledge of file.c', 'Extension use knowledge of file.bak']"
Extent,['Extent is subclass of Extent-Based Systems']
Extent-Based Systems,['Extent-Based Systems is subclass of Allocation Methods']
External Fragmentation,['External Fragmentation is subclass of Contiguous Allocation']
External Requirements,['External Requirements is subclass of Requirements Engineering']
Extracting common/redundant code,['Extracting common/redundant code is synonym of Factoring if/else code']
Extraction of Digits,"['Extraction of Digits use knowledge of Modulo', 'Extraction of Digits use knowledge of Division', 'Extraction of Digits use knowledge of decimal number', 'Extraction of Digits use knowledge of Number of Digits']"
Extreme Programming (XP),['Extreme Programming (XP) is subclass of Agile Software Development']
FAT,['FAT is subclass of File System']
FAT32,['FAT32 is subclass of FAT']
FCB,['FCB is synonym of File Control Block (FCB)']
FCFS,"['FCFS is subclass of Scheduling Algorithms', 'FCFS use knowledge of Non-preemptive', 'FCFS use knowledge of FIFO Queues']"
FD,['FD is synonym of Functional Dependency']
FDD,['FDD is synonym of Feature-Driven Development (FDD)']
FFS,['FFS is subclass of File System']
FHIR,"['FHIR is subclass of Healthcare Systems', 'FHIR is subclass of Data Standards']"
FIFO Algorithm,"['FIFO Algorithm is subclass of Page-Replacement Algorithms', ""FIFO Algorithm use knowledge of Belady's Anomaly""]"
FP,['FP is synonym of Functional Programming']
FTP,['FTP is subclass of Network Services']
FTP Servers,['FTP Servers is subclass of FTP']
FUSE,['FUSE is subclass of File System']
Factoring if/else code,['Factoring if/else code use knowledge of Conditional Execution']
Factory Application,"['Factory Application is subclass of App', 'Factory Application is subclass of Application', 'Factory Application use knowledge of stock management', 'Factory Application use knowledge of Production', 'Factory Application use knowledge of Automation', 'Factory Application use knowledge of Analysis']"
False,['False is subclass of Boolean Logic']
False Sharing,"['False Sharing is subclass of Concurrency Issues', 'False Sharing is subclass of Shared Memory']"
False-Negatives,['False-Negatives is subclass of Security']
False-Positives,['False-Positives is subclass of Security']
Fast Healthcare Interoperability Resources,['Fast Healthcare Interoperability Resources is synonym of FHIR']
Fault Tolerance,['Fault Tolerance is synonym of Fault-Tolerant Systems']
Fault-Tolerant Systems,"['Fault-Tolerant Systems is subclass of System Architecture', 'Fault-Tolerant Systems is subclass of Software Solutions', 'Fault-Tolerant Systems use knowledge of Back End Engineering', 'Fault-Tolerant Systems use knowledge of Testing Techniques', 'Fault-Tolerant Systems use knowledge of Self-Healing Systems']"
Feature-Driven Development (FDD),['Feature-Driven Development (FDD) is subclass of Agile Software Development']
Feed-Forward Network,['Feed-Forward Network is synonym of Feed-Forward Network']
Fencepost loops,['Fencepost loops is subclass of Loops']
Fetch Instruction,['Fetch Instruction is subclass of Execution Sequence']
Few-shot Learning,"['Few-shot Learning is synonym of Few-shot Learning', 'Few-shot Learning use knowledge of Large Language Models (LLMs)']"
Fields,"['Fields is subclass of User-Defined Classes', 'Fields is subclass of Classes', 'Fields use knowledge of Initial values', 'Fields use knowledge of Primitive data type', 'Fields use knowledge of Static variables', 'Fields use knowledge of Instance variables', 'Fields use knowledge of identifierList', 'Fields use knowledge of dataType', 'Fields use knowledge of Instance Variables']"
Fifth Normal Form (5NF),"['Fifth Normal Form (5NF) is subclass of Normal Forms', 'Fifth Normal Form (5NF) use knowledge of Join dependency', 'Fifth Normal Form (5NF) use knowledge of Fourth Normal Form (4NF)']"
Figma,"['Figma is subclass of UI/UX Design', 'Figma is subclass of Graphic Design', 'Figma is subclass of Development Tools']"
File Access,"['File Access use knowledge of pickle.load', 'File Access use knowledge of FileNotFoundError']"
File Allocation Table,['File Allocation Table is synonym of FAT']
File Archiving (Tar),"['File Archiving (Tar) is subclass of UNIX Packaging files', 'File Archiving (Tar) use knowledge of define output', 'File Archiving (Tar) use knowledge of view content file', 'File Archiving (Tar) use knowledge of extract data', 'File Archiving (Tar) use knowledge of verify data', 'File Archiving (Tar) use knowledge of tar file', 'File Archiving (Tar) use knowledge of package multiple files or directory', 'File Archiving (Tar) use knowledge of Tar']"
File Attributes,"['File Attributes is subclass of UNIX Permission', 'File Attributes use knowledge of Protection', 'File Attributes use knowledge of Size', 'File Attributes use knowledge of Location', 'File Attributes use knowledge of Type', 'File Attributes use knowledge of Identifier', 'File Attributes use knowledge of Name', 'File Attributes use knowledge of Execute Permission', 'File Attributes use knowledge of Write Permission', 'File Attributes use knowledge of Read Permission', 'File Attributes use knowledge of UNIX define 3 sessions', 'File Attributes use knowledge of permission', 'File Attributes use knowledge of user owner', 'File Attributes use knowledge of files or directories']"
File Class,"['File Class use knowledge of File file', 'File Class use knowledge of String pathname']"
File Compression,"['File Compression is subclass of UNIX Compression', 'File Compression use knowledge of cvfz test.tar.gz', 'File Compression use knowledge of gzip test.tar', 'File Compression use knowledge of hard compress', 'File Compression use knowledge of bzip2, bunzip2', 'File Compression use knowledge of Gzip, gunzip', 'File Compression use knowledge of zip, unzip']"
File Concept,"['File Concept use knowledge of binary', 'File Concept use knowledge of character', 'File Concept use knowledge of numeric', 'File Concept use knowledge of logical address space']"
File Content Display,"['File Content Display is subclass of UNIX command', 'File Content Display use knowledge of tail [-n] [filename]', 'File Content Display use knowledge of head [-n] [filename]', 'File Content Display use knowledge of less [filename]', 'File Content Display use knowledge of cat [filename]', 'File Content Display use knowledge of more [filename]']"
File Control Block (FCB),['File Control Block (FCB) is subclass of File Structure']
File Dates,['File Dates is subclass of File Structure']
File Extensions Handling,['File Extensions Handling is subclass of Configuration and Deployment Management Testing']
File I/O,"['File I/O is synonym of File Processing', 'File I/O is synonym of File Input/output (I/O)']"
File Information,"['File Information is subclass of Shell Navigation and File System', 'File Information use knowledge of last access list', 'File Information use knowledge of last modify list', 'File Information use knowledge of files detail']"
